01.09.09 14:19:02	193.109.128.36	LAK	18	18	6	1		3	0	0	0	602	33.4	4575	7.6
01.09.09 14:19:41	193.109.128.36	PEARL	18	18	6	1		3	0	0	0	746	41.4	5670	7.6
03.09.09 10:28:22	95.135.76.59	LAK	18	18	4	0		0	0	0	0	554	30.8	4210	7.6
04.09.09 11:51:49	95.135.73.249	PEARL	4	4	4	1		0	0	0	0	182	45.5	1383	7.6
04.09.09 11:52:55	95.135.73.249	PEARL	16	4	4	1		0	0	0	0	554	34.6	4210	7.6
04.09.09 11:53:05	95.135.73.249	MATUKR	16	4	4	1		0	0	0	0	258	16.1	1961	7.6
06.09.09 16:47:27	194.79.21.162	LAK	6	4	4	нет	нет	нет	4	1	0	233.8	39	1777	7.6
06.09.09 16:47:52	194.79.21.162	LAK	6	4	4	нет	нет	нет	4	0	0	220	36.7	1672	7.6
07.09.09 02:18:13	91.201.68.149	LAK	10	13	4	1		0	0	0	0	348	34.8	2645	7.6
10.09.09 08:24:48	77.52.44.235	MATUKR	20	18	4	0		0	0	0	0	426	21.3	3238	7.6
14.09.09 10:51:01	92.113.107.135	MATUKR	20	18	4	1		0	0	0	0	398	19.9	3025	7.6
14.09.09 10:52:13	92.113.107.135	MATUKR	11	11	4	1		0	0	0	0	240.5	21.9	1828	7.6
16.09.09 11:38:23	88.81.231.158	MATUKR	17	17	4	1	12	0	0	1	0	520.75	30.6	3958	7.6
16.09.09 11:38:43	88.81.231.158	MATUKR	17	17	4	1	0	0	0	1	0	366.75	21.6	2787	7.6
19.09.09 19:34:41	91.206.110.1	LAK	12,16	14	4	1	0	1	0	0	0	404	33.7	3070	7.6
21.09.09 19:29:57	194.79.21.142	METAL	6.7	10.3	4	0		0	0	0	0	302.7	45.2	2301	7.6
21.09.09 19:30:23	194.79.21.142	MATUKR	6.7	10.3	4	0		0	0	0	0	178.75	26.7	1359	7.6
21.09.09 19:31:05	194.79.21.142	MATUKR	6.7	10.3	12	0		0	9	0	0	290.75	43.4	2210	7.6
22.09.09 13:08:44	195.24.137.170	MATUKR	17,5	17	5	1		0	0	0	0	350.5	20.6	2664	7.6
27.09.09 21:18:23	194.50.254.44	MATUKR	17	17	4	0		0	0	0	0	337.5	19.9	2565	7.6
27.09.09 21:18:42	194.50.254.44	MATUKR	17	17	4	1		0	0	0	0	345.5	20.3	2626	7.6
27.09.09 21:19:18	194.50.254.44	MAT200	17	17	4	1		0	0	0	0	473	27.8	3595	7.6
27.09.09 21:19:24	194.50.254.44	MAT150	17	17	4	1		0	0	0	0	439	25.8	3336	7.6
27.09.09 21:19:31	194.50.254.44	MATUKR	17	17	4	1		0	0	0	0	345.5	20.3	2626	7.6
27.09.09 21:19:38	194.50.254.44	MATUKR	17	17	4	1		0	0	1	0	366.75	21.6	2787	7.6
29.09.09 12:03:36	93.180.245.188	LAK	8,5	18	4	1		0	11	0	0	420	52.5	3192	7.6
29.09.09 12:04:36	93.180.245.188	LAK	8,5	12	4	1		0	11	0	0	375	46.9	2850	7.6
29.09.09 21:46:09	194.79.21.142	METAL	9	9	12	0		0	8.5	0	0	467	51.9	3549	7.6
29.09.09 21:46:38	194.79.21.142	LAK	9	9	12	0		0	8.5	0	0	395	43.9	3002	7.6
29.09.09 21:46:44	194.79.21.142	MATUKR	9	9	12	0		0	8.5	0	0	300.5	33.4	2284	7.6
