01.03.17 10:53:07	91.209.206.81	mat_eco_320c	9	12	4	1		0	0	0	0	0	120.72	13.4	3316	27.47
01.03.17 12:01:26	91.209.206.81	lac_eco_500c	6.3	10	4	0	7	0	0	0	0	0	141.864	22.5	3897	27.47
01.03.17 12:01:44	91.209.206.81	lac_eco_500c	6	9.8	4	0	7	0	0	0	0	0	137.928	23	3789	27.47
01.03.17 12:01:48	91.209.206.81	lac_eco_500c	6	9.8	4	0	7	0	0	0	0	0	137.928	23	3789	27.47
01.03.17 12:02:08	91.209.206.81	lac_eco_500c	6	9.8	4	0	5	0	0	0	0	0	128.328	21.4	3525	27.47
01.03.17 12:02:17	91.209.206.81	lac_eco_320c	6	9.8	4	0	5	0	0	0	0	0	108.888	18.1	2991	27.47
01.03.17 12:02:26	91.209.206.81	lac_std_c	6	9.8	4	0	5	0	0	0	0	0	111.048	18.5	3050	27.47
01.03.17 12:02:37	91.209.206.81	pearl	6	9.8	4	0	5	0	0	0	0	0	161.448	26.9	4435	27.47
01.03.17 12:02:45	91.209.206.81	transp	6	9.8	4	0	5	0	0	0	0	0	161.448	26.9	4435	27.47
01.03.17 12:02:55	91.209.206.81	photo_water	6	9.8	4	0	5	0	0	0	0	0	168.648	28.1	4633	27.47
01.03.17 12:03:06	91.209.206.81	pearl	6	9.8	4	0	5	0	0	0	0	0	161.448	26.9	4435	27.47
01.03.17 16:45:39	91.209.206.81	lac_eco_320c	30	22	4	0		0	0	0	0	0	311.52	10.4	8557	27.47
02.03.17 10:47:58	91.209.206.81	lac_eco_320c	10.9	13.6	4	0		0	0	0	0	0	134.772	12.4	3702	27.47
02.03.17 17:53:19	91.209.206.81	lac_eco_320c	9	12	4	1		0	0	0	0	0	117.48	13.1	3227	27.47
03.03.17 07:35:58	91.209.206.81	lac_eco_320c	8.24	12.8	6	1		0	0	12.8	0	0	139.8816	17	3843	27.47
03.03.17 07:36:22	91.209.206.81	lac_eco_320c	10	11.9	8	1		0	2.42	11.9	0	0	172.26	17.2	4732	27.47
03.03.17 07:36:46	91.209.206.81	lac_eco_320c	6.13	10	4	1		0	0	10	0	0	105.6852	17.2	2903	27.47
